ensembl_id	hgnc_symbol	tissue	value
ENSG00000000003	TSPAN6	Testis	discordance_rna_high
ENSG00000000419	DPM1	Pancreas	discordance_prt_high
ENSG00000000938	FGR	Lung	discordance_rna_high
ENSG00000000938	FGR	Lung	discordance_rna_high
ENSG00000000938	FGR	Lung	discordance_rna_high
ENSG00000000938	FGR	Spleen	concordance
ENSG00000000938	FGR	Spleen	concordance
ENSG00000000938	FGR	Spleen	concordance
ENSG00000000971	CFH	Artery_Aorta	discordance_prt_high
ENSG00000000971	CFH	Liver	discordance_rna_high
ENSG00000001036	FUCA2	Thyroid	discordance_prt_high
ENSG00000001084	GCLC	Esophagus_Mucosa	discordance_rna_high
ENSG00000001084	GCLC	Liver	concordance
ENSG00000001167	NFYA	Testis	discordance_rna_high
ENSG00000001167	NFYA	Testis	discordance_rna_high
ENSG00000001461	NIPAL3	Brain_Cerebellum	discordance_rna_high
ENSG00000001461	NIPAL3	Brain_Cerebellum	discordance_rna_high
ENSG00000001461	NIPAL3	Brain_Cortex	concordance
ENSG00000001461	NIPAL3	Brain_Cortex	concordance
ENSG00000001497	LAS1L	Brain_Cerebellum	discordance_rna_high
ENSG00000001497	LAS1L	Brain_Cortex	discordance_rna_high
ENSG00000001626	CFTR	Colon_Transverse	discordance_rna_high
ENSG00000001626	CFTR	Lung	discordance_rna_high
ENSG00000001626	CFTR	Minor_Salivary	discordance_rna_high
ENSG00000001626	CFTR	Pancreas	concordance
ENSG00000001626	CFTR	Skin_SunExpo	discordance_rna_high
ENSG00000001626	CFTR	Testis	discordance_rna_high
ENSG00000001629	ANKIB1	Brain_Cortex	concordance
ENSG00000001629	ANKIB1	Brain_Cortex	concordance
ENSG00000001630	CYP51A1	Minor_Salivary	discordance_rna_high
ENSG00000002549	LAP3	Liver	discordance_prt_high
ENSG00000002726	AOC1	Colon_Sigmoid	discordance_prt_high
ENSG00000002726	AOC1	Colon_Sigmoid	discordance_prt_high
ENSG00000002726	AOC1	Colon_Transverse	discordance_prt_high
ENSG00000002726	AOC1	Colon_Transverse	discordance_prt_high
ENSG00000002726	AOC1	Prostate	discordance_prt_high
ENSG00000002726	AOC1	Prostate	discordance_prt_high
ENSG00000002726	AOC1	Small_Intestine	discordance_prt_high
ENSG00000002726	AOC1	Small_Intestine	discordance_prt_high
ENSG00000002746	HECW1	Artery_Coronary	discordance_prt_high
ENSG00000002746	HECW1	Artery_Coronary	discordance_prt_high
ENSG00000002746	HECW1	Artery_Coronary	discordance_prt_high
ENSG00000002746	HECW1	Brain_Cerebellum	discordance_rna_high
ENSG00000002746	HECW1	Brain_Cerebellum	discordance_rna_high
ENSG00000002746	HECW1	Brain_Cerebellum	discordance_rna_high
ENSG00000002822	MAD1L1	Testis	discordance_rna_high
ENSG00000002822	MAD1L1	Testis	discordance_rna_high
ENSG00000002822	MAD1L1	Testis	discordance_rna_high
ENSG00000002834	LASP1	Artery_Coronary	discordance_prt_high
ENSG00000002834	LASP1	Artery_Tibial	discordance_prt_high
ENSG00000002933	TMEM176A	Nerve_Tibial	discordance_prt_high
ENSG00000002933	TMEM176A	Nerve_Tibial	discordance_prt_high
ENSG00000003147	ICA1	Brain_Cerebellum	discordance_prt_high
ENSG00000003147	ICA1	Brain_Cerebellum	discordance_prt_high
ENSG00000003147	ICA1	Brain_Cortex	discordance_prt_high
ENSG00000003147	ICA1	Brain_Cortex	discordance_prt_high
ENSG00000003147	ICA1	Heart_Atrial	discordance_prt_high
