""	ENSG00000004059	ENSG00000003056	ENSG00000173153	ENSG00000004478	ENSG00000003137	ENSG00000003509	ENSG00000001036	ENSG00000003249	ENSG00000002587	ENSG00000001617
"1"	88:88:0	160:71:73	225:83:137	171:82:84	88:24:60	88:36:40	102:52:30	118:71:33	304:87:216	289:85:201
"2"	160:71:73	159:159:0	239:117:94	193:101:57	159:28:131	159:47:111	161:70:77	163:84:52	306:135:149	291:126:134
"3"	225:83:137	243:119:102	225:225:0	234:127:73	225:28:197	225:47:177	225:78:139	227:103:114	316:169:103	307:169:100
"4"	171:82:84	193:101:57	234:127:73	170:170:0	170:28:142	170:45:122	172:72:88	175:97:65	310:149:146	294:143:129
"5"	88:24:60	159:28:131	225:28:197	170:28:142	28:28:0	48:23:20	86:27:58	115:28:87	304:28:276	289:28:261
"6"	88:36:40	159:47:111	225:47:177	170:45:122	48:23:20	48:48:0	86:37:38	115:42:67	304:48:256	289:48:241
"7"	104:53:34	161:70:77	225:78:139	172:72:88	86:27:58	86:37:38	86:86:0	119:65:37	304:84:218	289:82:203
"8"	118:71:33	163:84:52	227:103:114	175:97:65	115:28:87	115:42:67	119:65:37	115:115:0	304:112:189	289:108:174
"9"	304:87:216	306:135:149	316:169:103	310:149:146	304:28:276	304:48:256	304:84:218	304:112:189	304:304:0	347:193:101
"10"	289:85:201	291:126:134	307:169:100	294:143:129	289:28:261	289:48:241	289:82:203	289:108:174	347:193:101	289:289:0
