obs.AAA,obs.AAT,obs.AAC,obs.AAG,obs.ATA,obs.ATT,obs.ATC,obs.ATG,obs.ACA,obs.ACT,obs.ACC,obs.ACG,obs.AGA,obs.AGT,obs.AGC,obs.AGG,obs.TAA,obs.TAT,obs.TAC,obs.TAG,obs.TTA,obs.TTT,obs.TTC,obs.TTG,obs.TCA,obs.TCT,obs.TCC,obs.TCG,obs.TGA,obs.TGT,obs.TGC,obs.TGG,obs.CAA,obs.CAT,obs.CAC,obs.CAG,obs.CTA,obs.CTT,obs.CTC,obs.CTG,obs.CCA,obs.CCT,obs.CCC,obs.CCG,obs.CGA,obs.CGT,obs.CGC,obs.CGG,obs.GAA,obs.GAT,obs.GAC,obs.GAG,obs.GTA,obs.GTT,obs.GTC,obs.GTG,obs.GCA,obs.GCT,obs.GCC,obs.GCG,obs.GGA,obs.GGT,obs.GGC,obs.GGG,ensgid_version,enstid_version,transcript
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,0,0,1,1,2,0,0,1,4,3,1,9,7,0,1,6,4,0,0,0,0,0,1,1,1,1,3,7,4,0,1,3,1,ENSG00000004059,ENST00000000233.10,ENST00000000233
1,0,2,1,0,2,1,0,2,3,1,2,2,2,4,3,0,1,1,3,0,2,3,1,1,5,4,0,2,0,1,6,0,1,4,3,4,1,4,7,4,2,5,3,2,1,2,3,3,1,2,3,1,1,2,1,1,6,4,3,3,2,7,6,ENSG00000003056,ENST00000000412.8,ENST00000000412
0,0,0,3,0,0,0,2,1,2,2,1,0,2,7,8,0,0,1,1,0,1,0,1,2,0,4,1,2,2,3,2,1,1,2,4,1,1,4,3,3,3,6,14,4,0,11,16,2,1,3,9,1,0,3,4,2,4,14,14,9,2,15,4,ENSG00000173153,ENST00000000442.11,ENST00000000442
1,0,1,1,1,0,0,0,0,0,2,2,2,3,4,2,1,0,1,1,0,0,0,0,2,1,4,3,0,0,4,0,1,0,2,7,1,0,7,0,3,4,8,12,0,1,16,7,0,1,0,2,1,0,2,4,5,4,12,10,2,3,4,0,ENSG00000004478,ENST00000001008.6,ENST00000001008
0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,ENSG00000003137,ENST00000001146.7,ENST00000001146
0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,2,2,0,1,2,1,2,1,0,2,0,0,1,1,0,0,2,0,0,1,0,0,2,2,3,1,0,1,0,ENSG00000003509,ENST00000002125.9,ENST00000002125
0,0,1,1,1,0,0,0,2,1,0,1,3,0,4,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,5,0,0,2,2,0,2,1,4,1,0,3,6,2,0,2,4,0,0,0,0,3,1,5,5,4,0,4,2,ENSG00000001036,ENST00000002165.11,ENST00000002165
0,0,0,0,0,0,0,1,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,5,1,0,0,1,3,0,0,1,4,2,1,6,12,3,2,9,4,0,1,2,2,0,1,2,1,2,4,12,4,1,0,5,3,ENSG00000003249,ENST00000002501.11,ENST00000002501
2,1,2,2,0,2,1,3,2,4,3,3,2,5,6,7,1,1,1,3,1,1,3,2,3,4,4,2,5,2,11,5,0,4,4,12,4,4,6,10,12,8,11,9,1,1,12,10,4,0,5,4,1,0,3,8,3,7,22,9,5,4,13,6,ENSG00000002587,ENST00000002596.6,ENST00000002596
0,0,2,3,0,0,1,2,0,0,2,2,3,1,8,6,1,0,0,3,1,1,3,0,0,1,5,2,3,0,4,5,1,2,1,3,3,2,3,8,5,7,16,21,3,1,18,16,3,1,2,8,0,2,1,2,2,8,26,13,5,3,19,10,ENSG00000001617,ENST00000002829.8,ENST00000002829
