obs.AAA,obs.AAT,obs.AAC,obs.AAG,obs.ATA,obs.ATT,obs.ATC,obs.ATG,obs.ACA,obs.ACT,obs.ACC,obs.ACG,obs.AGA,obs.AGT,obs.AGC,obs.AGG,obs.TAA,obs.TAT,obs.TAC,obs.TAG,obs.TTA,obs.TTT,obs.TTC,obs.TTG,obs.TCA,obs.TCT,obs.TCC,obs.TCG,obs.TGA,obs.TGT,obs.TGC,obs.TGG,obs.CAA,obs.CAT,obs.CAC,obs.CAG,obs.CTA,obs.CTT,obs.CTC,obs.CTG,obs.CCA,obs.CCT,obs.CCC,obs.CCG,obs.CGA,obs.CGT,obs.CGC,obs.CGG,obs.GAA,obs.GAT,obs.GAC,obs.GAG,obs.GTA,obs.GTT,obs.GTC,obs.GTG,obs.GCA,obs.GCT,obs.GCC,obs.GCG,obs.GGA,obs.GGT,obs.GGC,obs.GGG,ensgid_version,enstid_version,enstid
0,1,1,0,1,3,2,1,1,2,0,0,0,1,0,0,1,2,2,1,2,0,2,1,2,3,2,0,1,1,0,0,1,2,0,0,2,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,ENSG00000000460,ENST00000359326.9,ENST00000359326
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,ENSG00000000460,ENST00000359326.9,ENST00000359326
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,ENSG00000000460,ENST00000359326.9,ENST00000359326
0,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENSG00000000460,ENST00000359326.9,ENST00000359326
1,0,1,2,0,3,0,2,1,1,0,0,1,2,2,3,0,0,0,1,1,4,7,9,3,7,2,1,3,6,2,5,1,2,1,2,0,9,2,3,0,2,0,2,0,1,3,1,2,2,0,3,1,5,4,2,2,4,2,2,3,3,3,1,ENSG00000000460,ENST00000359326.9,ENST00000359326
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,ENSG00000000938,ENST00000374005.8,ENST00000374005
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ENSG00000000971,ENST00000367429.9,ENST00000367429
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,0,1,1,1,0,1,1,0,3,0,2,2,0,ENSG00000001084,ENST00000650454.1,ENST00000650454
0,1,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,ENSG00000001460,ENST00000337248.9,ENST00000337248
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,1,1,ENSG00000001460,ENST00000337248.9,ENST00000337248
