gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_oORF_all	u5_oORF_inframe	u5_oORF_outframe	u5_oORF_altered_cds	u5_oORF_kozak	u5_ORF_kozak	u5_GC	u3_len	u3_AUG	u3_ORF	u3_ORF_kozak	u3_GC
ARF5	ENSG00000004059.11	ENSG00000004059	ENST00000000233.10	protein_coding	88	0	0	0	0	0	0	0	0	0.840909090909091	401	5	2	1	0.588528678304239
M6PR	ENSG00000003056.8	ENSG00000003056	ENST00000000412.8	protein_coding	159	0	0	0	0	0	0	0	0	0.641509433962264	1457	21	20	3	0.413864104323953
ESRRA	ENSG00000173153.17	ENSG00000173153	ENST00000000442.11	protein_coding	225	2	2	0	0	0	0	0	2	0.777777777777778	777	10	8	3	0.581724581724582
FKBP4	ENSG00000004478.8	ENSG00000004478	ENST00000001008.6	protein_coding	170	0	0	0	0	0	0	0	0	0.782352941176471	2165	43	43	3	0.475288683602771
CYP26B1	ENSG00000003137.9	ENSG00000003137	ENST00000001146.7	protein_coding	28	0	0	0	0	0	0	0	0	0.714285714285714	2989	34	34	3	0.525928404148545
NDUFAF7	ENSG00000003509.16	ENSG00000003509	ENST00000002125.9	protein_coding	48	0	0	0	0	0	0	0	0	0.625	810	14	14	3	0.383950617283951
FUCA2	ENSG00000001036.14	ENSG00000001036	ENST00000002165.11	protein_coding	86	0	0	0	0	0	0	0	0	0.72093023255814	895	22	21	3	0.350837988826816
DBNDD1	ENSG00000003249.15	ENSG00000003249	ENST00000002501.11	protein_coding	115	1	0	1	0	1	2	1	0	0.826086956521739	1464	17	17	3	0.599043715846995
HS3ST1	ENSG00000002587.10	ENSG00000002587	ENST00000002596.6	protein_coding	304	3	3	0	0	0	0	0	2	0.6875	5932	110	110	3	0.423128792987188
SEMA3F	ENSG00000001617.12	ENSG00000001617	ENST00000002829.8	protein_coding	289	2	2	0	0	0	0	0	3	0.785467128027682	960	11	10	3	0.572916666666667
CFTR	ENSG00000001626.16	ENSG00000001626	ENST00000003084.11	protein_coding	70	0	0	0	0	0	0	0	0	0.628571428571429	1557	41	41	3	0.38150289017341
CYP51A1	ENSG00000001630.17	ENSG00000001630	ENST00000003100.13	protein_coding	113	0	0	0	0	0	0	0	0	0.628318584070796	1512	27	27	3	0.361111111111111
