expt.AAA,expt.AAT,expt.AAC,expt.AAG,expt.ATA,expt.ATT,expt.ATC,expt.ATG,expt.ACA,expt.ACT,expt.ACC,expt.ACG,expt.AGA,expt.AGT,expt.AGC,expt.AGG,expt.TAA,expt.TAT,expt.TAC,expt.TAG,expt.TTA,expt.TTT,expt.TTC,expt.TTG,expt.TCA,expt.TCT,expt.TCC,expt.TCG,expt.TGA,expt.TGT,expt.TGC,expt.TGG,expt.CAA,expt.CAT,expt.CAC,expt.CAG,expt.CTA,expt.CTT,expt.CTC,expt.CTG,expt.CCA,expt.CCT,expt.CCC,expt.CCG,expt.CGA,expt.CGT,expt.CGC,expt.CGG,expt.GAA,expt.GAT,expt.GAC,expt.GAG,expt.GTA,expt.GTT,expt.GTC,expt.GTG,expt.GCA,expt.GCT,expt.GCC,expt.GCG,expt.GGA,expt.GGT,expt.GGC,expt.GGG,ensgid,enstid_version,enstid
0,0,0,0,0,0.119,0.37,0.503,0.053,0.107,0.551,0.254,0,0.26,1.294,0.42,0,0,0,0,0,0,0.437,0.557,0.317,0.384,2.176,0.975,0,0.524,3.296,1.093,0,1,0.98,2,0,0.553,1.84,2.502,2.28,2.801,8.18,6.839,0,1.529,6.76,2.595,0,0,0,0,0,0.328,1.207,1.386,1.266,1.594,8.931,3.234,0,0.667,3.378,0.784,ENSG00000004059,ENST00000000233.10,ENST00000000233
0.39,0.477,1.374,1.694,0.453,0.614,0.991,0.921,1.328,2.924,3.066,1.578,1.794,1.057,2.98,4.767,0.742,0.548,1.636,2.041,0.963,0.91,2.108,1.811,1.594,2.893,3.48,1.747,1.558,0.796,2.35,4.038,1.225,0.889,2.503,3.191,2.748,3.258,4.757,4.68,2.724,5.523,3.939,3.041,1.502,0.863,2.275,4.004,1.471,0.959,2.995,3.299,0.83,1.039,1.676,1.408,2.297,4.408,4.804,2.34,4.038,2.273,6.301,6.082,ENSG00000003056,ENST00000000412.8,ENST00000000412
0.233,0.222,0.632,1.895,0.177,0.279,0.637,0.902,0.548,0.675,2.348,2.315,2.416,1.482,6.76,6.049,0.207,0.136,0.417,1.233,0.274,0.26,0.996,1.446,0.702,0.704,2.762,2.71,1.602,0.787,3.96,3.584,0.879,0.573,1.657,4.844,0.828,1.28,2.716,4.086,3.11,3.523,8.009,12.555,5.262,2.694,10.716,11.543,1.673,1.068,3.192,8.324,0.721,1.167,2.526,3.456,3.628,4.08,14.229,12.523,5.333,2.933,13.098,7.899,ENSG00000173153,ENST00000000442.11,ENST00000000442
0.297,0.156,0.622,1.851,0.155,0,0.598,0.244,0.478,0.456,1.575,1.455,0.852,1.534,7.35,1.971,0.472,0.148,0.596,1.752,0,0,0,0,1.258,1.004,3.93,3.688,0.308,0.503,2.376,0.722,1.585,0.469,1.924,5.894,1.644,0,4.974,2.067,3.916,3.643,7.899,11.303,2.15,3.767,14.502,4.775,0.619,0.227,0.831,2.215,1.201,0,4.14,1.59,4.222,3.714,13.16,9.555,0.656,1.185,5.602,1.184,ENSG00000004478,ENST00000001008.6,ENST00000001008
0.334,0.351,0.611,0.662,0,0,0.938,0,0.342,0,1.01,0.44,0.256,0,1.274,0.393,0,0,0,0,0,0,0,0,0.159,0,0.525,0.213,0,0,0,0,0.987,0.407,0.714,0.806,0,0,0,0,1.624,0,1.849,1.616,0.561,0,1.562,0.607,0.32,0.133,0.271,0.254,0,0,0,0,0.865,0,1.959,0.684,0.183,0,0.754,0,ENSG00000003137,ENST00000001146.7,ENST00000001146
