expt.ATG,ensgid,enstid_version,enstid
4;[1~7];4.186,ENSG00000004059,ENST00000000233.10,ENST00000000233
22;[15~29];21.516,ENSG00000003056,ENST00000000412.8,ENST00000000412
12;[7~17];11.771,ENSG00000173153,ENST00000000442.11,ENST00000000442
36;[27~45];36.36,ENSG00000004478,ENST00000001008.6,ENST00000001008
47;[37~56];46.87,ENSG00000003137,ENST00000001146.7,ENST00000001146
15;[10~21];15.198,ENSG00000003509,ENST00000002125.9,ENST00000002125
20;[14~27];20.043,ENSG00000001036,ENST00000002165.11,ENST00000002165
13;[8~19];13.221,ENSG00000003249,ENST00000002501.11,ENST00000002501
106;[90~121];105.864,ENSG00000002587,ENST00000002596.6,ENST00000002596
17;[11.975~22];16.918,ENSG00000001617,ENST00000002829.8,ENST00000002829
35;[27~44];35.078,ENSG00000001626,ENST00000003084.11,ENST00000003084
31;[23~39];30.8,ENSG00000001630,ENST00000003100.13,ENST00000003100
5;[2~8];5.034,ENSG00000002933,ENST00000004103.8,ENST00000004103
5;[2~9];5.103,ENSG00000004776,ENST00000004982.6,ENST00000004982
46;[37~55];45.876,ENSG00000004799,ENST00000005178.6,ENST00000005178
1;[0~3];1.519,ENSG00000006606,ENST00000005180.9,ENST00000005180
5;[2~9];4.79,ENSG00000006611,ENST00000005226.12,ENST00000005226
39;[30~48];39.305,ENSG00000006451,ENST00000005257.7,ENST00000005257
42;[33~52];42.116,ENSG00000075790,ENST00000005259.9,ENST00000005259
31;[22.975~39];30.624,ENSG00000006453,ENST00000005260.9,ENST00000005260
7;[4~12];7.507,ENSG00000006116,ENST00000005284.4,ENST00000005284
6;[3~10];6.328,ENSG00000004975,ENST00000005340.10,ENST00000005340
46;[37~56];46.172,ENSG00000005175,ENST00000005386.8,ENST00000005386
28;[21~35];27.768,ENSG00000007001,ENST00000005756.5,ENST00000005756
2;[0~4];1.703,ENSG00000007038,ENST00000005995.8,ENST00000005995
30;[23~38];29.99,ENSG00000005073,ENST00000006015.4,ENST00000006015
26;[18~33];25.591,ENSG00000006210,ENST00000006053.7,ENST00000006053
2;[0~4];2.243,ENSG00000006282,ENST00000006658.11,ENST00000006658
