obs.AAA,obs.AAT,obs.AAC,obs.AAG,obs.ATA,obs.ATT,obs.ATC,obs.ATG,obs.ACA,obs.ACT,obs.ACC,obs.ACG,obs.AGA,obs.AGT,obs.AGC,obs.AGG,obs.TAA,obs.TAT,obs.TAC,obs.TAG,obs.TTA,obs.TTT,obs.TTC,obs.TTG,obs.TCA,obs.TCT,obs.TCC,obs.TCG,obs.TGA,obs.TGT,obs.TGC,obs.TGG,obs.CAA,obs.CAT,obs.CAC,obs.CAG,obs.CTA,obs.CTT,obs.CTC,obs.CTG,obs.CCA,obs.CCT,obs.CCC,obs.CCG,obs.CGA,obs.CGT,obs.CGC,obs.CGG,obs.GAA,obs.GAT,obs.GAC,obs.GAG,obs.GTA,obs.GTT,obs.GTC,obs.GTG,obs.GCA,obs.GCT,obs.GCC,obs.GCG,obs.GGA,obs.GGT,obs.GGC,obs.GGG,ensgid_version,enstid_version
0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,5,0,0,1,1,2,0,0,1,4,3,1,9,7,0,1,6,4,0,0,0,0,0,1,1,1,1,3,7,4,0,1,3,1,ENSG00000004059.11,ENST00000000233.10
1,0,2,1,0,2,1,0,2,3,1,2,2,2,4,3,0,1,1,3,0,2,3,1,1,5,4,0,2,0,1,6,0,1,4,3,4,1,4,7,4,2,5,3,2,1,2,3,3,1,2,3,1,1,2,1,1,6,4,3,3,2,7,6,ENSG00000003056.8,ENST00000000412.8
0,0,0,3,0,0,0,2,1,2,2,1,0,2,7,8,0,0,1,1,0,1,0,1,2,0,4,1,2,2,3,2,1,1,2,4,1,1,4,3,3,3,6,14,4,0,11,16,2,1,3,9,1,0,3,4,2,4,14,14,9,2,15,4,ENSG00000173153.17,ENST00000000442.11
1,0,1,1,1,0,0,0,0,0,2,2,2,3,4,2,1,0,1,1,0,0,0,0,2,1,4,3,0,0,4,0,1,0,2,7,1,0,7,0,3,4,8,12,0,1,16,7,0,1,0,2,1,0,2,4,5,4,12,10,2,3,4,0,ENSG00000004478.8,ENST00000001008.6
0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,ENSG00000003137.9,ENST00000001146.7
0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,2,2,0,1,2,1,2,1,0,2,0,0,1,1,0,0,2,0,0,1,0,0,2,2,3,1,0,1,0,ENSG00000003509.16,ENST00000002125.9
0,0,1,1,1,0,0,0,2,1,0,1,3,0,4,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,5,0,0,2,2,0,2,1,4,1,0,3,6,2,0,2,4,0,0,0,0,3,1,5,5,4,0,4,2,ENSG00000001036.14,ENST00000002165.11
0,0,0,0,0,0,0,1,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,5,1,0,0,1,3,0,0,1,4,2,1,6,12,3,2,9,4,0,1,2,2,0,1,2,1,2,4,12,4,1,0,5,3,ENSG00000003249.15,ENST00000002501.11
2,1,2,2,0,2,1,3,2,4,3,3,2,5,6,7,1,1,1,3,1,1,3,2,3,4,4,2,5,2,11,5,0,4,4,12,4,4,6,10,12,8,11,9,1,1,12,10,4,0,5,4,1,0,3,8,3,7,22,9,5,4,13,6,ENSG00000002587.10,ENST00000002596.6
0,0,2,3,0,0,1,2,0,0,2,2,3,1,8,6,1,0,0,3,1,1,3,0,0,1,5,2,3,0,4,5,1,2,1,3,3,2,3,8,5,7,16,21,3,1,18,16,3,1,2,8,0,2,1,2,2,8,26,13,5,3,19,10,ENSG00000001617.12,ENST00000002829.8
0,0,0,0,0,1,0,0,0,0,1,1,2,1,4,3,0,0,0,4,1,1,0,2,0,1,0,0,1,0,0,1,0,1,0,3,1,2,0,0,2,1,4,1,1,0,1,1,0,0,3,3,2,0,1,0,2,1,3,1,2,1,2,1,ENSG00000001626.17,ENST00000003084.11
0,0,0,1,0,1,1,0,0,0,3,2,1,3,2,3,0,0,0,1,0,1,4,1,1,2,2,3,0,2,1,4,1,1,0,2,0,2,2,3,2,4,1,2,4,2,0,3,0,1,5,4,1,2,1,4,1,1,3,2,5,1,4,2,ENSG00000001630.18,ENST00000003100.13
0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,2,0,0,0,0,0,0,1,0,0,1,4,1,1,1,0,0,0,0,0,5,0,1,3,2,3,2,6,4,1,0,6,0,0,0,2,2,0,0,2,1,2,1,5,2,1,1,0,0,ENSG00000002933.9,ENST00000004103.8
0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,0,ENSG00000004776.13,ENST00000004982.6
1,1,4,3,0,0,2,0,2,6,5,1,2,2,8,3,0,0,0,0,0,0,2,2,4,5,5,4,2,0,4,1,4,1,6,11,0,4,11,4,10,6,8,8,3,1,8,5,4,0,4,1,0,0,3,1,6,2,14,6,2,1,6,3,ENSG00000004799.8,ENST00000005178.6
1,0,1,1,0,1,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,2,0,1,0,1,0,1,2,ENSG00000006606.9,ENST00000005180.9
0,0,2,1,0,0,0,0,0,0,2,3,0,0,5,2,0,0,0,0,0,1,1,0,0,1,3,3,0,0,1,4,1,0,1,4,0,1,3,4,2,2,3,4,3,1,3,6,2,0,2,1,0,0,3,1,4,5,3,3,2,3,7,3,ENSG00000006611.17,ENST00000005226.12
2,1,1,2,0,1,2,0,2,3,4,1,5,2,7,6,1,0,1,0,1,1,6,1,1,4,21,4,2,0,3,4,3,0,3,9,0,7,19,4,7,17,7,11,3,2,8,12,1,2,6,9,1,0,3,4,4,6,10,8,8,3,11,3,ENSG00000006451.8,ENST00000005257.7
1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,3,0,0,0,1,1,0,1,3,0,1,3,6,2,0,0,2,0,0,2,1,2,1,3,6,2,1,5,3,ENSG00000075790.12,ENST00000005259.9
0,0,0,3,0,1,0,0,1,1,1,3,3,3,4,3,0,0,0,1,1,2,2,2,0,4,8,5,1,0,5,1,1,1,2,5,0,3,10,5,4,6,9,13,4,2,12,16,2,0,4,4,0,1,4,0,4,7,14,15,2,0,18,3,ENSG00000006453.14,ENST00000005260.9
6,4,5,8,1,2,2,5,3,5,14,2,10,5,10,12,0,0,4,2,2,6,4,3,3,6,14,1,10,3,7,5,5,4,6,14,1,5,13,13,15,13,16,8,3,2,2,7,12,3,8,14,2,2,4,4,8,9,8,3,13,2,9,5,ENSG00000006116.4,ENST00000005284.4
0,0,0,1,0,1,1,0,0,1,4,0,3,2,4,3,0,0,2,1,1,5,2,4,1,1,5,6,2,2,4,7,0,1,2,4,0,5,4,4,2,5,9,10,1,4,14,13,1,1,2,6,2,1,6,6,4,6,8,16,4,8,12,9,ENSG00000004975.12,ENST00000005340.10
0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,0,1,0,1,0,0,0,2,0,0,2,3,0,3,2,0,1,1,2,0,0,1,4,1,1,0,1,0,2,1,7,0,0,2,2,0,1,3,4,1,3,2,5,0,3,6,4,ENSG00000005175.10,ENST00000005386.8
5,8,4,5,5,7,3,2,5,5,1,0,2,3,1,6,8,5,0,5,7,8,5,1,5,6,0,0,5,0,1,1,4,3,3,1,5,4,1,3,0,1,0,0,0,0,0,0,5,0,4,2,1,2,2,1,1,1,0,0,4,3,0,1,ENSG00000007001.13,ENST00000005756.5
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,1,0,0,0,1,2,2,0,3,2,ENSG00000007038.11,ENST00000005995.8
1,2,0,3,0,0,2,1,0,2,0,1,3,1,4,2,1,0,2,1,1,0,2,0,3,0,1,1,0,1,2,1,3,1,1,2,2,2,1,2,2,0,2,1,0,0,1,3,1,1,0,3,1,1,0,1,2,4,2,1,3,1,2,0,ENSG00000005073.6,ENST00000006015.4
0,0,0,1,0,0,0,0,1,2,1,0,0,0,4,1,0,0,0,1,0,0,0,1,1,3,0,0,1,0,3,2,0,0,2,2,1,1,4,5,1,4,3,4,0,0,3,1,0,0,2,1,0,0,0,0,1,2,8,0,2,0,2,2,ENSG00000006210.7,ENST00000006053.7
