expt.strong_1,expt.moderate_1,expt.moderate_2,expt.weak_1,expt.weak_2,ensgid,enstid_version,enstid
0.028,0.159,0.097,0.462,0.481,ENSG00000004059,ENST00000000233.10,ENST00000000233
0.166,0.385,0.352,0.797,0.859,ENSG00000003056,ENST00000000412.8,ENST00000000412
0.167,0.471,0.3,0.888,0.908,ENSG00000173153,ENST00000000442.11,ENST00000000442
0.017,0.095,0.031,0.213,0.216,ENSG00000004478,ENST00000001008.6,ENST00000001008
0,0,0,0,0,ENSG00000003137,ENST00000001146.7,ENST00000001146
0.012,0.116,0.019,0.216,0.227,ENSG00000003509,ENST00000002125.9,ENST00000002125
0.065,0.213,0.111,0.361,0.378,ENSG00000001036,ENST00000002165.11,ENST00000002165
0.066,0.259,0.161,0.584,0.6,ENSG00000003249,ENST00000002501.11,ENST00000002501
0.359,1.269,0.791,2.687,2.794,ENSG00000002587,ENST00000002596.6,ENST00000002596
0.203,0.593,0.456,1.242,1.27,ENSG00000001617,ENST00000002829.8,ENST00000002829
0.016,0.088,0.033,0.172,0.182,ENSG00000001626,ENST00000003084.11,ENST00000003084
0.108,0.295,0.225,0.602,0.662,ENSG00000001630,ENST00000003100.13,ENST00000003100
0,0,0,0,0,ENSG00000002933,ENST00000004103.8,ENST00000004103
0,0,0,0,0,ENSG00000004776,ENST00000004982.6,ENST00000004982
0.049,0.18,0.11,0.432,0.458,ENSG00000004799,ENST00000005178.6,ENST00000005178
0.163,0.467,0.276,0.722,0.863,ENSG00000006606,ENST00000005180.9,ENST00000005180
0,0,0,0,0,ENSG00000006611,ENST00000005226.12,ENST00000005226
0.084,0.213,0.179,0.493,0.501,ENSG00000006451,ENST00000005257.7,ENST00000005257
0,0,0,0,0,ENSG00000075790,ENST00000005259.9,ENST00000005259
0.021,0.079,0.053,0.19,0.195,ENSG00000006453,ENST00000005260.9,ENST00000005260
0.488,1.741,0.988,3.436,3.607,ENSG00000006116,ENST00000005284.4,ENST00000005284
0.104,0.295,0.226,0.618,0.632,ENSG00000004975,ENST00000005340.10,ENST00000005340
0.129,0.294,0.222,0.51,0.535,ENSG00000005175,ENST00000005386.8,ENST00000005386
0.286,0.948,0.506,1.808,1.95,ENSG00000007001,ENST00000005756.5,ENST00000005756
0,0,0,0,0,ENSG00000007038,ENST00000005995.8,ENST00000005995
0.138,0.481,0.265,0.877,0.938,ENSG00000005073,ENST00000006015.4,ENST00000006015
0,0,0,0,0,ENSG00000006210,ENST00000006053.7,ENST00000006053
0,0,0,0,0,ENSG00000006282,ENST00000006658.11,ENST00000006658
0,0,0,0,0,ENSG00000007312,ENST00000006750.8,ENST00000006750
0,0,0,0,0,ENSG00000005486,ENST00000006777.11,ENST00000006777
0.097,0.238,0.184,0.428,0.434,ENSG00000007376,ENST00000007264.7,ENST00000007264
0.115,0.219,0.199,0.392,0.477,ENSG00000007520,ENST00000007390.3,ENST00000007390
0.197,0.525,0.391,1.107,1.135,ENSG00000006025,ENST00000007414.8,ENST00000007414
0.072,0.215,0.14,0.388,0.409,ENSG00000004777,ENST00000007510.9,ENST00000007510
0.093,0.302,0.149,0.458,0.526,ENSG00000004779,ENST00000007516.8,ENST00000007516
0.145,0.284,0.272,0.512,0.532,ENSG00000006047,ENST00000007699.10,ENST00000007699
0.024,0.08,0.077,0.234,0.279,ENSG00000006059,ENST00000007735.4,ENST00000007735
0.893,3.091,1.783,6.167,6.528,ENSG00000008197,ENST00000008391.4,ENST00000008391
0.217,0.633,0.554,1.502,1.547,ENSG00000008405,ENST00000008527.10,ENST00000008527
0,0,0,0,0,ENSG00000008438,ENST00000008938.5,ENST00000008938
0.16,0.362,0.312,0.7,0.713,ENSG00000010270,ENST00000009041.12,ENST00000009041
0.024,0.137,0.047,0.342,0.393,ENSG00000010278,ENST00000009180.10,ENST00000009180
0.157,0.411,0.348,0.893,0.942,ENSG00000019582,ENST00000009530.13,ENST00000009530
0.035,0.121,0.058,0.203,0.204,ENSG00000008988,ENST00000009589.8,ENST00000009589
0,0,0,0,0,ENSG00000091704,ENST00000011292.8,ENST00000011292
0,0,0,0,0,ENSG00000010017,ENST00000011619.6,ENST00000011619
0.13,0.408,0.261,0.885,0.916,ENSG00000010610,ENST00000011653.9,ENST00000011653
0,0,0,0,0,ENSG00000008324,ENST00000011691.6,ENST00000011691
0.145,0.455,0.24,0.776,0.804,ENSG00000011105,ENST00000011898.10,ENST00000011898
0.049,0.092,0.108,0.196,0.249,ENSG00000011478,ENST00000012049.10,ENST00000012049
