gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_max_kozak	u5_GC	u3_len	u3_AUG	u3_ORF	u3_max_kozak	u3_GC	u5_oORF	u3_oORF
ARF5	ENSG00000004059.11	ENSG00000004059	ENST00000000233.10	protein_coding	88	0	0		0.840909090909091	401	5	1	1	0.588528678304239	0	5
M6PR	ENSG00000003056.8	ENSG00000003056	ENST00000000412.8	protein_coding	159	0	0		0.641509433962264	1457	21	14	1	0.413864104323953	0	10
ESRRA	ENSG00000173153.17	ENSG00000173153	ENST00000000442.11	protein_coding	225	2	0		0.777777777777778	777	10	4	2	0.581724581724582	0	3
FKBP4	ENSG00000004478.8	ENSG00000004478	ENST00000001008.6	protein_coding	170	0	0		0.782352941176471	2165	43	41	2	0.475288683602771	0	5
CYP26B1	ENSG00000003137.9	ENSG00000003137	ENST00000001146.7	protein_coding	28	0	0		0.714285714285714	2989	34	32	1	0.525928404148545	1	7
NDUFAF7	ENSG00000003509.16	ENSG00000003509	ENST00000002125.9	protein_coding	48	0	0		0.625	810	14	14	1	0.383950617283951	0	7
FUCA2	ENSG00000001036.14	ENSG00000001036	ENST00000002165.11	protein_coding	86	0	0		0.72093023255814	895	22	17	1	0.350837988826816	3	7
DBNDD1	ENSG00000003249.15	ENSG00000003249	ENST00000002501.11	protein_coding	115	1	0		0.826086956521739	1464	17	6	3	0.599043715846995	0	2
HS3ST1	ENSG00000002587.10	ENSG00000002587	ENST00000002596.6	protein_coding	304	3	0		0.6875	5932	110	109	2	0.423128792987188	1	0
SEMA3F	ENSG00000001617.12	ENSG00000001617	ENST00000002829.8	protein_coding	289	2	1	3	0.785467128027682	960	11	9	3	0.572916666666667	0	13
CFTR	ENSG00000001626.16	ENSG00000001626	ENST00000003084.11	protein_coding	70	0	0		0.628571428571429	1557	41	38	1	0.38150289017341	1	30
CYP51A1	ENSG00000001630.17	ENSG00000001630	ENST00000003100.13	protein_coding	113	0	0		0.628318584070796	1512	27	23	1	0.361111111111111	0	13
TMEM176A	ENSG00000002933.9	ENSG00000002933	ENST00000004103.8	protein_coding	75	0	0		0.72	250	5	2	1	0.544	6	11
HSPB6	ENSG00000004776.13	ENSG00000004776	ENST00000004982.6	protein_coding	21	0	0		0.666666666666667	956	4	4	1	0.583682008368201	0	2
PDK4	ENSG00000004799.8	ENSG00000004799	ENST00000005178.6	protein_coding	223	0	0		0.681614349775785	2142	48	41	1	0.340336134453782	0	4
CCL26	ENSG00000006606.9	ENSG00000006606	ENST00000005180.9	protein_coding	35	0	0		0.542857142857143	155	1	0		0.535483870967742	1	1
USH1C	ENSG00000006611.17	ENSG00000006611	ENST00000005226.12	protein_coding	109	0	0		0.73394495412844	432	1	0		0.520833333333333	3	16
RALA	ENSG00000006451.8	ENSG00000006451	ENST00000005257.7	protein_coding	291	0	0		0.676975945017182	1875	37	30	2	0.3648	0	6
BCAP29	ENSG00000075790.12	ENSG00000075790	ENST00000005259.9	protein_coding	70	0	0		0.742857142857143	2115	40	38	2	0.314420803782506	3	6
BAIAP2L1	ENSG00000006453.14	ENSG00000006453	ENST00000005260.9	protein_coding	238	0	0		0.760504201680672	1871	35	29	2	0.506680919294495	0	13
CACNG3	ENSG00000006116.4	ENSG00000006116	ENST00000005284.4	protein_coding	420	5	3	2	0.583333333333333	549	13	6	2	0.482695810564663	2	0
DVL2	ENSG00000004975.12	ENSG00000004975	ENST00000005340.10	protein_coding	255	0	0		0.737254901960784	523	4	3	2	0.504780114722753	0	22
RPAP3	ENSG00000005175.10	ENSG00000005175	ENST00000005386.8	protein_coding	85	0	0		0.705882352941177	2256	46	46	1	0.323581560283688	0	8
UPP2	ENSG00000007001.13	ENSG00000007001	ENST00000005756.5	protein_coding	188	2	2	2	0.297872340425532	1264	27	21	2	0.374208860759494	1	12
PRSS21	ENSG00000007038.11	ENSG00000007038	ENST00000005995.8	protein_coding	32	0	0		0.78125	114	2	0		0.517543859649123	0	0
HOXA11	ENSG00000005073.6	ENSG00000005073	ENST00000006015.4	protein_coding	88	1	1	2	0.534090909090909	1639	24	21	1	0.49359365466748	0	0
CX3CL1	ENSG00000006210.7	ENSG00000006210	ENST00000006053.7	protein_coding	79	0	0		0.721518987341772	2012	26	26	2	0.5720675944334	0	5
SPATA20	ENSG00000006282.21	ENSG00000006282	ENST00000006658.11	protein_coding	35	0	0		0.828571428571429	190	0	0		0.6	1	17
CD79B	ENSG00000007312.13	ENSG00000007312	ENST00000006750.8	protein_coding	70	0	0		0.6	486	8	0		0.637860082304527	5	0
RHBDD2	ENSG00000005486.17	ENSG00000005486	ENST00000006777.11	protein_coding	49	0	0		0.816326530612245	577	9	1	1	0.558058925476603	1	1
RPUSD1	ENSG00000007376.8	ENSG00000007376	ENST00000007264.7	protein_coding	133	0	0		0.804511278195489	976	9	2	1	0.659836065573771	1	2
TSR3	ENSG00000007520.4	ENSG00000007520	ENST00000007390.3	protein_coding	74	0	0		0.797297297297297	197	3	0		0.563451776649746	0	3
OSBPL7	ENSG00000006025.12	ENSG00000006025	ENST00000007414.8	protein_coding	216	1	0		0.657407407407407	919	10	4	2	0.613710554951034	10	12
NDUFAB1	ENSG00000004779.10	ENSG00000004779	ENST00000007516.8	protein_coding	26	0	0		0.653846153846154	168	4	0		0.380952380952381	0	6
YBX2	ENSG00000006047.13	ENSG00000006047	ENST00000007699.10	protein_coding	139	0	0		0.81294964028777	420	4	0		0.492857142857143	0	0
KRT33A	ENSG00000006059.4	ENSG00000006059	ENST00000007735.4	protein_coding	61	0	0		0.557377049180328	27	0	0		0.555555555555556	0	0
TFAP2D	ENSG00000008197.5	ENSG00000008197	ENST00000008391.4	protein_coding	530	5	4	2	0.381132075471698	169	3	0		0.337278106508876	2	2
CRY1	ENSG00000008405.12	ENSG00000008405	ENST00000008527.10	protein_coding	588	2	1	2	0.680272108843537	638	17	11	2	0.280564263322884	0	12
PGLYRP1	ENSG00000008438.5	ENSG00000008438	ENST00000008938.5	protein_coding	32	0	0		0.75	85	2	1	2	0.541176470588235	1	6
STARD3NL	ENSG00000010270.14	ENSG00000010270	ENST00000009041.12	protein_coding	234	1	0		0.713675213675214	764	23	3	1	0.335078534031414	1	4
CD9	ENSG00000010278.15	ENSG00000010278	ENST00000009180.10	protein_coding	100	0	0		0.71	438	7	3	1	0.296803652968037	0	13
RPS20	ENSG00000008988.11	ENSG00000008988	ENST00000009589.8	protein_coding	123	0	0		0.609756097560976	36	1	0		0.25	1	1
