expt.ATG,ensgid_version,enstid_version
3.5;[2~5.775];3.6,ENSG00000004059.11,ENST00000000233.10
21;[18.225~26.775];21.8,ENSG00000003056.8,ENST00000000412.8
10.5;[6.9~13.775];10.7,ENSG00000173153.17,ENST00000000442.11
35;[31.225~41.325];35.2,ENSG00000004478.8,ENST00000001008.6
43;[38.225~53.65];44,ENSG00000003137.9,ENST00000001146.7
16.5;[11.45~18];15.6,ENSG00000003509.16,ENST00000002125.9
20.5;[16.225~24.55];20.1,ENSG00000001036.14,ENST00000002165.11
10;[9~16.875];10.8,ENSG00000003249.15,ENST00000002501.11
101.5;[94.9~115.1];103.4,ENSG00000002587.10,ENST00000002596.6
16.5;[13.45~21];17,ENSG00000001617.12,ENST00000002829.8
