prob.AAA,prob.AAT,prob.AAC,prob.AAG,prob.ATA,prob.ATT,prob.ATC,prob.ATG,prob.ACA,prob.ACT,prob.ACC,prob.ACG,prob.AGA,prob.AGT,prob.AGC,prob.AGG,prob.TAA,prob.TAT,prob.TAC,prob.TAG,prob.TTA,prob.TTT,prob.TTC,prob.TTG,prob.TCA,prob.TCT,prob.TCC,prob.TCG,prob.TGA,prob.TGT,prob.TGC,prob.TGG,prob.CAA,prob.CAT,prob.CAC,prob.CAG,prob.CTA,prob.CTT,prob.CTC,prob.CTG,prob.CCA,prob.CCT,prob.CCC,prob.CCG,prob.CGA,prob.CGT,prob.CGC,prob.CGG,prob.GAA,prob.GAT,prob.GAC,prob.GAG,prob.GTA,prob.GTT,prob.GTC,prob.GTG,prob.GCA,prob.GCT,prob.GCC,prob.GCG,prob.GGA,prob.GGT,prob.GGC,prob.GGG,ensgid,enstid_version,enstid
0,0,0,0,0,0.13,0.382,0.48,0.063,0.123,0.563,0.216,0,0.242,0.878,0.403,0,0,0,0,0,0,0.412,0.579,0.265,0.33,0.96,0.7,0,0.502,0.998,0.74,0,1,0.976,1,0,0.557,0.971,0.999,0.979,0.986,1,1,0,0.903,1,0.989,0,0,0,0,0,0.313,0.845,0.897,0.811,0.875,1,0.997,0,0.543,0.999,0.644,ENSG00000004059,ENST00000000233.10,ENST00000000233
0.415,0.407,0.825,0.896,0.4,0.528,0.722,0.664,0.826,0.977,0.986,0.854,0.897,0.713,0.977,1,0.587,0.443,0.909,0.935,0.702,0.706,0.943,0.918,0.843,0.99,0.985,0.896,0.84,0.628,0.954,0.999,0.816,0.65,0.976,0.994,0.991,0.997,1,1,0.975,1,1,0.982,0.843,0.625,0.949,0.996,0.831,0.715,0.988,0.996,0.653,0.723,0.893,0.846,0.942,1,1,0.958,0.999,0.95,1,1,ENSG00000003056,ENST00000000412.8,ENST00000000412
0.216,0.193,0.551,0.952,0.17,0.261,0.525,0.71,0.456,0.529,0.948,0.948,0.968,0.792,1,0.999,0.21,0.114,0.402,0.862,0.274,0.27,0.728,0.854,0.545,0.554,0.979,0.979,0.83,0.58,0.996,0.994,0.681,0.494,0.892,1,0.652,0.838,0.993,0.999,0.98,0.992,1,1,0.999,0.977,1,1,0.924,0.811,0.996,1,0.608,0.789,0.966,0.998,0.998,0.997,1,1,0.999,0.98,1,1,ENSG00000173153,ENST00000000442.11,ENST00000000442
0.297,0.152,0.521,0.959,0.164,0,0.605,0.223,0.402,0.426,0.867,0.829,0.64,0.857,1,0.922,0.434,0.16,0.495,0.943,0,0,0,0,0.765,0.703,0.995,0.998,0.281,0.432,0.983,0.515,0.905,0.507,0.963,1,0.931,0,1,0.973,0.998,0.996,1,1,0.961,0.996,1,1,0.52,0.181,0.63,0.985,0.835,0,1,0.911,0.995,0.997,1,1,0.558,0.778,1,0.807,ENSG00000004478,ENST00000001008.6,ENST00000001008
0.34,0.347,0.55,0.604,0,0,0.931,0,0.348,0,0.773,0.392,0.267,0,0.902,0.405,0,0,0,0,0,0,0,0,0.187,0,0.482,0.227,0,0,0,0,0.774,0.393,0.642,0.69,0,0,0,0,0.939,0,0.997,0.926,0.531,0,0.979,0.595,0.336,0.142,0.278,0.228,0,0,0,0,0.686,0,0.968,0.594,0.202,0,0.745,0,ENSG00000003137,ENST00000001146.7,ENST00000001146
