expt.ATG,ensgid_version,enstid_version
3.6,ENSG00000004059.11,ENST00000000233.10
21.8,ENSG00000003056.8,ENST00000000412.8
10.7,ENSG00000173153.17,ENST00000000442.11
35.2,ENSG00000004478.8,ENST00000001008.6
44,ENSG00000003137.9,ENST00000001146.7
15.6,ENSG00000003509.16,ENST00000002125.9
20.1,ENSG00000001036.14,ENST00000002165.11
10.8,ENSG00000003249.15,ENST00000002501.11
103.4,ENSG00000002587.10,ENST00000002596.6
17,ENSG00000001617.12,ENST00000002829.8
