expt.AAA,expt.AAT,expt.AAC,expt.AAG,expt.ATA,expt.ATT,expt.ATC,expt.ATG,expt.ACA,expt.ACT,expt.ACC,expt.ACG,expt.AGA,expt.AGT,expt.AGC,expt.AGG,expt.TAA,expt.TAT,expt.TAC,expt.TAG,expt.TTA,expt.TTT,expt.TTC,expt.TTG,expt.TCA,expt.TCT,expt.TCC,expt.TCG,expt.TGA,expt.TGT,expt.TGC,expt.TGG,expt.CAA,expt.CAT,expt.CAC,expt.CAG,expt.CTA,expt.CTT,expt.CTC,expt.CTG,expt.CCA,expt.CCT,expt.CCC,expt.CCG,expt.CGA,expt.CGT,expt.CGC,expt.CGG,expt.GAA,expt.GAT,expt.GAC,expt.GAG,expt.GTA,expt.GTT,expt.GTC,expt.GTG,expt.GCA,expt.GCT,expt.GCC,expt.GCG,expt.GGA,expt.GGT,expt.GGC,expt.GGG,ensgid,enstid_version,enstid
0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~1];0.119,0;[0~1];0.37,1;[0~1];0.503,0;[0~1];0.053,0;[0~1];0.107,1;[0~1];0.551,0;[0~1];0.254,0;[0~0];0,0;[0~1];0.26,1;[0~2];1.294,0;[0~2];0.42,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~1];0.437,1;[0~1];0.557,0;[0~1.02499999999998];0.317,0;[0~1];0.384,2;[0~4];2.176,1;[0~3];0.975,0;[0~0];0,0;[0~2];0.524,3;[1~5];3.296,1;[0~3];1.093,0;[0~0];0,1;[1~1];1,1;[1~1];0.98,2;[2~2];2,0;[0~0];0,1;[0~1];0.553,2;[0~3];1.84,3;[1~4];2.502,2;[1~4];2.28,3;[1~5];2.801,8;[6~10];8.18,7;[4~10];6.839,0;[0~0];0,2;[0~3];1.529,7;[5~9];6.76,3;[1~5];2.595,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~1];0.328,1;[0~3];1.207,1;[0~3];1.386,1;[0~3];1.266,2;[0~4];1.594,9;[6~12];8.931,3;[1~5];3.234,0;[0~0];0,1;[0~2];0.667,3;[2~5];3.378,1;[0~2];0.784,ENSG00000004059,ENST00000000233.10,ENST00000000233
0;[0~1];0.39,0;[0~2];0.477,1;[0~3];1.374,2;[0~3];1.694,0;[0~2];0.453,1;[0~2];0.614,1;[0~2];0.991,1;[0~2];0.921,1;[0~3];1.328,3;[0.975000000000001~6];2.924,3;[1~6];3.066,1;[0~4];1.578,2;[0~4];1.794,1;[0~3];1.057,3;[1~5];2.98,5;[2~8];4.767,1;[0~2];0.742,0;[0~2];0.548,2;[0~3.02499999999998];1.636,2;[0~4];2.041,1;[0~3];0.963,1;[0~2];0.91,2;[0~4];2.108,2;[0~4];1.811,2;[0~4];1.594,3;[1~5];2.893,4;[1~6];3.48,2;[0~4];1.747,1;[0~4];1.558,1;[0~2];0.796,2;[0~5];2.35,4;[1.975~7];4.038,1;[0~3];1.225,1;[0~2];0.889,3;[0.975000000000001~5];2.503,3;[1~5];3.191,3;[1~5];2.748,3;[1~5];3.258,5;[3~7];4.757,5;[2~7];4.68,3;[0~5];2.724,6;[3~8];5.523,4;[2~6];3.939,3;[1~6];3.041,1;[0~4];1.502,1;[0~3];0.863,2;[0~5];2.275,4;[1.975~7];4.004,1;[0~3];1.471,1;[0~2];0.959,3;[1~5];2.995,3;[1~5];3.299,1;[0~2];0.83,1;[0~3];1.039,2;[0~3.02499999999998];1.676,1;[0~3];1.408,2;[0~5];2.297,4;[2~8];4.408,5;[2~8];4.804,2;[0~5];2.34,4;[1~7];4.038,2;[0~4];2.273,6;[3~9];6.301,6;[4~8];6.082,ENSG00000003056,ENST00000000412.8,ENST00000000412
0;[0~1];0.233,0;[0~1];0.222,1;[0~2];0.632,2;[0~3];1.895,0;[0~1];0.177,0;[0~1];0.279,1;[0~2];0.637,1;[0~2];0.902,0;[0~2];0.548,1;[0~2];0.675,2;[0~5];2.348,2;[0~5];2.315,2;[0~5];2.416,1;[0~4];1.482,7;[4~10];6.76,6;[3~10];6.049,0;[0~1];0.207,0;[0~1];0.136,0;[0~2];0.417,1;[0~2];1.233,0;[0~1];0.274,0;[0~1];0.26,1;[0~2];0.996,1;[0~3];1.446,1;[0~2];0.702,1;[0~2];0.704,3;[0~5];2.762,3;[0.975000000000001~5];2.71,2;[0~4];1.602,1;[0~2];0.787,4;[1~7];3.96,4;[1~6];3.584,1;[0~2];0.879,0;[0~2];0.573,2;[0~4];1.657,5;[2~7];4.844,1;[0~2];0.828,1;[0~3];1.28,3;[1~5];2.716,4;[2~6];4.086,3;[0~6];3.11,3;[1~6];3.523,8;[5~11];8.009,13;[8~17];12.555,5;[2~9];5.262,3;[0~5];2.694,11;[7~14];10.716,11.5;[8~16];11.543,2;[0~3];1.673,1;[0~2];1.068,3;[1~5];3.192,8;[6~11];8.324,1;[0~2];0.721,1;[0~3];1.167,3;[1~5];2.526,3;[1~6];3.456,4;[1~6];3.628,4;[1~7];4.08,14;[10~18.025];14.229,12;[9~16];12.523,5;[2~8];5.333,3;[1~6];2.933,13;[9~18];13.098,8;[5~10];7.899,ENSG00000173153,ENST00000000442.11,ENST00000000442
0;[0~1];0.297,0;[0~1];0.156,1;[0~2];0.622,2;[0~3];1.851,0;[0~1];0.155,0;[0~0];0,1;[0~1];0.598,0;[0~1];0.244,0;[0~2];0.478,0;[0~2];0.456,2;[0~4];1.575,1;[0~3];1.455,1;[0~2];0.852,1;[0~4];1.534,7;[5~10];7.35,2;[0~4];1.971,0;[0~2];0.472,0;[0~1];0.148,1;[0~2];0.596,2;[0~3];1.752,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,1;[0~3];1.258,1;[0~3];1.004,4;[1~7];3.93,4;[1~6.02499999999998];3.688,0;[0~1];0.308,0;[0~2];0.503,2;[0~4];2.376,1;[0~2];0.722,2;[0~3];1.585,0;[0~1];0.469,2;[0~4];1.924,6;[4~8];5.894,2;[0~3];1.644,0;[0~0];0,5;[3~7];4.974,2;[0~4];2.067,4;[1~7];3.916,4;[1~6];3.643,8;[5~11];7.899,11;[7~15];11.303,2;[0~4];2.15,4;[1~6];3.767,15;[11~18];14.502,5;[2~7];4.775,1;[0~2];0.619,0;[0~1];0.227,1;[0~2];0.831,2;[1~4];2.215,1;[0~3];1.201,0;[0~0];0,4;[2~6];4.14,2;[0~3];1.59,4;[1~7];4.222,4;[1~6];3.714,13;[9~17.025];13.16,10;[6~13];9.555,1;[0~2];0.656,1;[0~3];1.185,6;[3~8];5.602,1;[0~3];1.184,ENSG00000004478,ENST00000001008.6,ENST00000001008
0;[0~1];0.334,0;[0~1];0.351,1;[0~2];0.611,1;[0~2];0.662,0;[0~0];0,0;[0~0];0,1;[0~1];0.938,0;[0~0];0,0;[0~1];0.342,0;[0~0];0,1;[0~2];1.01,0;[0~2];0.44,0;[0~1];0.256,0;[0~0];0,1;[0~2];1.274,0;[0~1];0.393,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~1];0.159,0;[0~0];0,1;[0~1];0.525,0;[0~1];0.213,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,1;[0~2];0.987,0;[0~1];0.407,1;[0~2];0.714,1;[0~2];0.806,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,2;[0~3];1.624,0;[0~0];0,2;[1~3];1.849,2;[0~3];1.616,1;[0~1];0.561,0;[0~0];0,2;[1~3];1.562,1;[0~1];0.607,0;[0~1];0.32,0;[0~1];0.133,0;[0~1];0.271,0;[0~1];0.254,0;[0~0];0,0;[0~0];0,0;[0~0];0,0;[0~0];0,1;[0~2];0.865,0;[0~0];0,2;[0~3];1.959,1;[0~2];0.684,0;[0~1];0.183,0;[0~0];0,1;[0~1];0.754,0;[0~0];0,ENSG00000003137,ENST00000001146.7,ENST00000001146
